TOP 10 RATED APPS ACROSS BOTH PLATFORMS,,,,,,,,,,
App,PS Rating,AS Rating,AVG Rating,Purchase Price,Marketing,PS Expected Monthly Income,AS Expected Monthly Income,Longevity (months) ON PS,Longevity (months) ON AS,Total App Lifetime Earnings (minus purchase price and marketing)
PewDiePie's Tuber Simulator,4.8,5,4.9," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",126,132," $982,000.00 "
ASOS,4.7,5,4.85," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",120,132," $958,000.00 "
Cytus,4.7,5,4.85," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",120,132," $958,000.00 "
Domino's Pizza USA,4.7,5,4.85," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",120,132," $958,000.00 "
"Egg, Inc.",4.7,5,4.85," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",120,132," $958,000.00 "
The Guardian,4.7,5,4.85," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",120,132," $958,000.00 "
Geometry Dash Lite,4.5,5,4.75," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",120,132," $958,000.00 "
H*nest Meditation,4.9,4.5,4.7," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",126,126," $958,000.00 "
Fernanfloo,4.8,4.5,4.65," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",126,126," $958,000.00 "
Narcos: Cartel Wars,4.7,4.5,4.6," $(50,000)"," $(1,000)"," $2,000.00 "," $2,000.00 ",120,126," $934,000.00 "
,,,,,,,,,,
,,,,,,,,,TOTAL EARNINGS," $9,580,000.00 "
